name,geoid,state_name,county_name,population,population_density_sq_mi,median_household_income,hhs_total,race_and_ethnicity_total,age_total,median_age,educational_attainment_population_25_years_and_over,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Fruitdale CDP,16000US0627080,California,Santa Clara,961,3600.8,96548,414,961,961,46.3,815,0.217,0,0.317,206,0.073,0.02,492,871900,414,
Fruitridge Pocket CDP,16000US0627130,California,Sacramento,6116,10264.3,32197,1868,6116,6116,35.7,4130,0.079,0,0.013,1226,0.22,0.16,2015,182300,1868,
Fuller Acres CDP,16000US0627190,California,Kern,885,1173.2,34732,186,885,885,24.4,417,0.026,0,0,160,0.463,0.195,207,135000,186,
Fullerton city,16000US0628000,California,Orange,139611,6224,79978,45814,139611,139611,35.4,92593,0.267,1,0.157,31996,0.071,0.065,48120,650000,45814,
Fulton CDP,16000US0628014,California,Sonoma,655,336.1,-1,202,655,655,38.5,438,0.128,0,0.135,156,0.404,0.094,202,763900,202,
Furnace Creek CDP,16000US0628021,California,Inyo,108,3.4,24716,85,108,108,44.3,99,0.273,1,0,14,0,0.052,108,9999,85,
Galt city,16000US0628112,California,Sacramento,25990,3819.6,75638,8160,25990,25990,35.4,16921,0.12,0,0.045,6501,0.066,0.066,8594,331100,8160,
Garberville CDP,16000US0628154,California,Humboldt,913,340.7,25705,481,913,913,31.4,612,0.193,0,0,195,0.359,0,569,404500,481,
Garden Acres CDP,16000US0628182,California,San Joaquin,9972,3858.4,41385,2806,9972,9972,33.3,6101,0.021,0,0.002,2123,0.17,0.119,3022,167600,2806,
Garden Farms CDP,16000US0628210,California,San Luis Obispo,403,368.6,-1,178,403,403,52.2,309,0.46,1,0.159,120,0,0,178,-1,178,
Garden Grove city,16000US0629000,California,Orange,173258,9648.3,69278,47761,173258,173258,38.5,119540,0.169,0,0.054,37365,0.115,0.045,49061,554400,47761,
Gardena city,16000US0628168,California,Los Angeles,59709,10243.2,58447,20612,59709,59709,41.3,43538,0.185,0,0.068,13787,0.108,0.046,21457,474700,20612,
Garey CDP,16000US0629070,California,Santa Barbara,191,151,-1,31,191,191,36.2,155,0.039,0,0.013,11,0,0.018,31,450000,31,
Garnet CDP,16000US0629112,California,Riverside,5285,670.3,38654,1660,5285,5285,38.5,3454,0.056,0,0.053,1146,0.209,0.052,2286,180900,1660,
Gasquet CDP,16000US0629154,California,Del Norte,685,144,37321,252,685,685,53,490,0.041,0,0.063,147,0.122,0,278,165600,252,
Gazelle CDP,16000US0629252,California,Siskiyou,56,95.7,37500,36,56,56,65,54,0.093,0,0.037,20,0,0,37,126600,36,
Georgetown CDP,16000US0629350,California,El Dorado,2577,170.3,54077,887,2577,2577,37.4,1730,0.118,0,0.043,606,0,0.152,941,322100,887,
Gerber CDP,16000US0629392,California,Tehama,1140,1229.5,47557,431,1140,1140,45.7,981,0.063,0,0.041,248,0.181,0.186,476,122800,431,
Geyserville CDP,16000US0629420,California,Sonoma,765,169.5,84444,258,765,765,39.5,545,0.163,0,0.059,192,0.125,0.018,319,625000,258,
Gilroy city,16000US0629504,California,Santa Clara,56766,3432.7,101616,16126,56766,56766,34.4,35064,0.181,0,0.095,12835,0.066,0.056,16608,663100,16126,
Glen Ellen CDP,16000US0630028,California,Sonoma,734,349.6,145957,290,734,734,53.6,606,0.274,1,0.345,194,0,0,410,993600,290,
Glendale city,16000US0630000,California,Los Angeles,200232,6571.3,66130,74698,200232,200232,41.9,150397,0.26,1,0.145,50349,0.099,0.065,78962,769900,74698,
Glendora city,16000US0630014,California,Los Angeles,51801,2655.2,96132,16887,51801,51801,41,36310,0.224,0,0.15,13138,0.054,0.06,17713,601800,16887,
Gold Mountain CDP,16000US0630339,California,Plumas,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,59,-1,0,
Gold River CDP,16000US0630345,California,Sacramento,7538,2835.8,119038,3294,7538,7538,52.4,5978,0.392,1,0.279,2233,0.022,0.076,3476,499300,3294,
Golden Hills CDP,16000US0630282,California,Kern,9351,763.1,64862,3400,9351,9351,35,6011,0.116,0,0.062,2497,0.076,0.038,3664,261000,3400,
Goleta city,16000US0630378,California,Santa Barbara,30975,3945.4,98005,11019,30975,30975,35.8,20438,0.274,1,0.205,7059,0.033,0.055,11766,797700,11019,
Gonzales city,16000US0630392,California,Monterey,8375,4430.6,65527,2077,8375,8375,30.3,4722,0.084,0,0.011,1795,0.093,0.02,2114,356000,2077,
Good Hope CDP,16000US0630410,California,Riverside,9195,818.5,47927,2000,9195,9195,29.1,5311,0.026,0,0.009,1793,0.187,0.113,2310,233600,2000,
Goodyears Bar CDP,16000US0630420,California,Sierra,26,12.7,-1,14,26,26,-1,26,0,0,0,14,0,0,66,-1,14,
