name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Crestline CDP,16000US0617162,California,San Bernardino,35898478,8709,628.3,61953,3524,857,544,648,432,656,300,87,8709,6760,169,110,92,0,20,119,1439,8709,328,377,691,241,644,753,701,495,513,604,673,564,437,632,690,366,44,6270,0.059,0.193,0.479,0.166,0,0.103,2252,0.105,4088,0.037,7209,258100,3524,
Creston CDP,16000US0617232,California,San Luis Obispo,1460395,33,58.5,-1,8,0,0,0,8,0,0,0,33,0,0,11,0,0,0,0,22,33,0,0,0,0,11,0,6,0,0,0,0,0,8,0,0,8,44.8,33,0,0.182,0.576,0.242,0,0,8,0,19,0,8,-1,8,
Crockett CDP,16000US0617274,California,Contra Costa,2751227,3265,3073.7,79951,1448,204,192,247,267,311,120,107,3265,2087,229,26,87,0,28,146,662,3265,170,165,138,232,229,380,231,184,95,138,174,246,137,252,372,122,46.9,2560,0.046,0.181,0.35,0.28,1,0.141,775,0.043,1866,0.053,1574,511200,1448,
Cromberg CDP,16000US0617288,California,Plumas,23385108,316,35,69853,136,17,35,17,42,25,0,0,316,295,0,0,0,0,0,0,21,316,0,49,0,0,6,47,72,34,0,15,0,17,0,6,52,18,65.1,252,0,0.262,0.484,0.194,0,0.06,82,0,115,0.035,215,315000,136,
Crowley Lake CDP,16000US0617372,California,Mono,7271284,1077,383.6,89706,348,15,40,88,93,43,28,41,1077,825,0,0,31,0,0,0,221,1077,72,65,65,36,86,121,113,17,102,92,27,27,27,151,52,24,42.7,661,0,0.253,0.259,0.351,1,0.138,210,0.043,696,0,522,584600,348,
Crows Landing CDP,16000US0617428,California,Stanislaus,8224084,305,96.1,40179,126,49,42,19,11,5,0,0,305,44,0,0,0,0,0,0,261,305,11,10,0,24,25,16,17,41,12,47,22,15,29,0,32,4,46.1,203,0.31,0.429,0.261,0,0,0,73,0.151,129,0.101,126,212500,126,
Cudahy city,16000US0617498,California,Los Angeles,3045228,23890,20318.6,46642,5690,1280,1804,1219,687,455,201,44,23890,744,159,27,123,35,36,27,22739,23890,1984,2307,1851,1559,1461,1579,714,570,1809,2086,2237,1683,1565,1379,593,513,29.1,13675,0.493,0.255,0.187,0.051,0,0.015,5012,0.231,11385,0.085,5875,420700,5690,
Culver City city,16000US0617568,California,Los Angeles,13237050,39169,7663.9,95044,16796,1975,2182,2388,2254,3075,2165,2757,39169,17937,3403,54,6329,38,220,1897,9291,39169,2082,1743,2280,3117,3534,2974,2307,2911,2112,1808,2228,2603,2958,2482,2237,1793,42.3,29488,0.07,0.109,0.237,0.312,1,0.272,9529,0.034,23103,0.042,17703,892000,16796,
Cupertino city,16000US0617610,California,Santa Clara,29295948,60257,5327.2,171917,20981,1856,1422,1276,1398,3184,3007,8838,60257,15168,482,38,40586,193,42,1741,2007,60257,3570,4637,1873,3661,6058,3997,2743,3682,3343,5106,2794,3148,6022,4198,2815,2610,41.6,40969,0.028,0.055,0.13,0.344,1,0.444,16174,0.034,28164,0.036,22267,1711300,20981,
Cutler CDP,16000US0617708,California,Tulare,2089960,5214,6461.5,39646,1205,161,567,270,149,58,0,0,5214,47,0,0,0,0,0,0,5167,5214,215,580,372,278,258,288,126,172,745,508,459,410,354,169,174,106,25.8,2670,0.623,0.217,0.147,0.003,0,0.01,1085,0.216,2262,0.154,1241,120600,1205,
Cutten CDP,16000US0617722,California,Humboldt,3351485,2919,2255.8,64167,1136,231,179,256,126,223,74,47,2919,2642,30,0,19,0,0,80,148,2919,230,216,31,290,185,166,157,315,92,192,90,277,188,123,145,222,42.1,2120,0.014,0.192,0.253,0.368,1,0.172,781,0.02,1407,0.039,1259,329700,1136,
Cuyama CDP,16000US0617727,California,Santa Barbara,1174244,17,37.5,-1,16,0,16,0,0,0,0,0,17,3,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,1,69.6,17,0.824,0.059,0.118,0,0,0,2,0,14,0,16,-1,16,
Cypress city,16000US0617750,California,Orange,17127734,48893,7393.4,93137,15684,1407,1980,2387,2749,3209,1893,2059,48893,17741,1847,80,17072,140,242,1913,9858,48893,2556,3216,2908,2977,3957,3818,2749,2976,2711,3588,3121,2298,3653,3805,2315,2245,41.8,33681,0.08,0.18,0.313,0.282,1,0.145,12691,0.045,24965,0.042,16256,632900,15684,
Daly City city,16000US0617918,California,San Mateo,19789729,106677,13961.4,94550,31796,3295,4314,4552,4642,6543,3927,4523,106677,12888,3457,129,61117,1373,216,3090,24407,106677,4423,4864,8588,7941,6279,7629,7006,7274,4562,4990,9118,9068,6463,7336,6192,4944,39.9,79456,0.131,0.194,0.297,0.298,1,0.079,23388,0.05,62869,0.051,32978,783400,31796,
Dana Point city,16000US0617946,California,Orange,16797354,33769,5206.9,99409,14905,1509,2258,1905,1832,2454,1844,3103,33769,25021,472,49,1224,24,62,976,5941,33769,1217,1458,1451,1482,2816,3104,2936,2886,1235,1701,1299,1626,2316,2855,3034,2353,50.5,26988,0.058,0.118,0.314,0.315,1,0.195,8994,0.029,18514,0.039,17865,878300,14905,
Danville town,16000US0617988,California,Contra Costa,46818656,44605,2467.5,160808,16053,1020,1120,961,1454,2917,2033,6548,44605,33595,446,6,5906,33,49,1690,2880,44605,2694,3016,1640,1716,3668,4144,3049,2954,2772,3790,1348,1594,3341,3627,2856,2396,45.7,30254,0.017,0.078,0.22,0.424,1,0.26,12451,0.021,21945,0.034,16551,1091900,16053,
