name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Sutter Creek city,16000US0677392,California,Amador,6991276,2573,953.2,45147,1196,341,289,282,121,99,27,37,2573,2293,3,5,9,0,0,22,241,2573,156,116,138,105,96,169,183,390,100,194,199,84,87,172,221,163,50.8,1854,0.077,0.256,0.413,0.186,0,0.069,582,0.079,1082,0.033,1322,347000,1196,
Swall Meadows CDP,16000US0677430,California,Mono,11555635,251,56.3,107813,137,25,11,14,12,39,16,20,251,247,0,0,0,0,0,0,4,251,0,0,0,10,8,3,75,35,6,0,0,3,9,7,27,68,68.6,245,0,0.078,0.31,0.286,1,0.327,110,0.145,63,0,228,690800,137,
Taft Heights CDP,16000US0677588,California,Kern,766308,1998,6752.9,48913,670,201,144,146,89,60,8,22,1998,1406,23,24,0,0,0,0,545,1998,154,193,206,146,117,62,73,53,232,181,138,135,89,109,90,20,26.8,1113,0.173,0.379,0.394,0.042,0,0.012,514,0.321,882,0.108,813,147000,670,
Taft Mosswood CDP,16000US0677595,California,San Joaquin,1205538,1104,2371.8,57137,373,122,38,133,26,54,0,0,1104,9,142,0,104,0,8,0,841,1104,94,64,82,55,81,50,74,113,30,49,78,42,61,70,85,76,45.1,815,0.556,0.178,0.185,0.074,0,0.007,273,0.081,446,0.099,414,178500,373,
Taft city,16000US0677574,California,Kern,39532947,9372,614,45197,3288,1264,523,610,322,345,152,72,9372,5251,119,0,264,5,0,405,3328,9372,1086,481,450,312,581,454,381,403,390,884,825,890,952,477,470,336,34.6,5859,0.266,0.368,0.26,0.081,0,0.025,1888,0.273,3203,0.05,3504,146500,3288,
Tahoe Vista CDP,16000US0677700,California,Placer,7033550,1158,426.4,71827,491,87,105,88,113,19,56,23,1158,937,0,0,0,0,0,0,221,1158,70,59,74,96,48,55,113,58,62,39,144,84,73,27,138,18,34.9,884,0.098,0.225,0.213,0.307,1,0.157,257,0.125,665,0,1587,612500,491,
Tahoma CDP,16000US0677728,California,El Dorado; Placer,6717203,974,375.6,70592,375,79,86,45,64,73,4,24,974,853,0,60,29,0,0,32,0,974,64,62,51,79,49,68,31,44,85,47,42,122,62,95,31,42,37.5,678,0.06,0.199,0.273,0.378,1,0.09,217,0.152,548,0.038,2050,498600,375,
Talmage CDP,16000US0677784,California,Mendocino,4117638,1003,630.9,29438,279,80,109,28,8,0,11,43,1003,441,48,11,261,0,0,104,138,1003,98,161,110,23,34,73,157,49,7,61,32,19,22,23,89,45,36.4,579,0.135,0.238,0.244,0.276,1,0.107,195,0.128,445,0.101,279,391200,279,
Tamalpais-Homestead Valley CDP,16000US0677805,California,Marin,12135235,11689,2494.7,163071,4617,434,304,331,327,797,500,1924,11689,9616,153,0,683,0,23,561,653,11689,579,969,367,543,978,922,1134,674,596,874,272,394,921,931,763,772,47.1,8339,0.019,0.071,0.145,0.399,1,0.366,3202,0.019,6172,0.031,4760,1243500,4617,
Tara Hills CDP,16000US0677924,California,Contra Costa,1721647,5117,7697.8,73857,1678,174,324,357,302,264,188,69,5117,1095,700,8,978,0,0,247,2089,5117,258,301,185,406,269,396,274,276,293,426,464,394,392,270,329,184,37.8,3562,0.171,0.292,0.385,0.112,0,0.04,1227,0.029,2769,0.026,1859,441300,1678,
Tarpey Village CDP,16000US0677960,California,Fresno,2058500,3609,4540.8,55000,1266,252,325,182,304,159,36,8,3609,1677,40,9,326,0,0,164,1393,3609,247,222,219,236,137,234,193,276,224,317,247,288,160,264,146,199,36.5,2391,0.074,0.338,0.416,0.131,0,0.041,874,0.133,1656,0.073,1379,215100,1266,
Taylorsville CDP,16000US0678008,California,Plumas,8409829,198,61,250001,53,15,8,0,0,0,0,30,198,157,0,0,0,41,0,0,0,198,49,0,0,0,33,0,15,8,20,27,0,30,0,0,16,0,38.1,102,0,0.078,0.627,0,0,0.294,45,0,30,0,82,-1,53,
Tecopa CDP,16000US0678050,California,Inyo,48145645,168,9,30577,102,36,42,15,0,9,0,0,168,142,0,0,0,2,0,6,18,168,0,0,0,0,4,10,22,27,0,19,2,5,10,4,19,46,67,147,0.17,0.156,0.408,0.061,0,0.204,24,0.125,34,0.235,190,61500,102,
Tehachapi city,16000US0678092,California,Kern,26289302,12680,1249.2,54083,3197,765,799,578,276,445,201,133,12680,6163,1246,77,309,25,0,431,4429,12680,513,538,196,724,424,465,431,455,793,841,1282,2103,1457,1300,716,442,37.4,9340,0.228,0.28,0.364,0.082,0,0.046,1906,0.107,3585,0.074,3616,211200,3197,
Tehama city,16000US0678106,California,Tehama,2057210,481,605.6,40139,219,68,79,17,23,29,0,3,481,358,0,18,7,0,0,16,82,481,21,24,29,31,28,28,43,37,6,29,18,18,24,75,28,42,51,379,0.174,0.303,0.409,0.055,0,0.058,128,0.125,188,0.074,229,167000,219,
Temecula city,16000US0678120,California,Riverside,96522582,113381,3042.3,96183,33947,3013,4302,5326,5086,8063,4007,4150,113381,58835,4581,473,10030,588,371,4807,33696,113381,7792,9883,6521,8197,7623,7823,5452,4155,8599,9088,7270,7369,8279,7723,4611,2996,34.8,71124,0.071,0.199,0.39,0.215,0,0.125,27333,0.058,55339,0.058,35739,444800,33947,
Temelec CDP,16000US0678126,California,Sonoma,4112404,1620,1020.3,44861,1072,157,420,170,136,70,53,66,1620,1599,0,0,0,0,0,21,0,1620,0,0,0,0,0,88,351,584,0,0,0,0,0,32,136,429,72.1,1620,0.013,0.114,0.385,0.334,1,0.155,325,0,531,0.062,1162,477000,1072,
Temescal Valley CDP,16000US0678138,California,Riverside,50094246,27630,1428.5,108934,8141,663,933,834,1313,2096,1060,1242,27630,11681,2456,71,2892,19,52,872,9587,27630,2258,2001,1273,1827,1992,1946,1489,1306,1962,2041,1671,1598,2075,1742,1157,1292,38.1,17976,0.077,0.218,0.414,0.183,0,0.108,6568,0.038,13047,0.051,8579,453600,8141,
Temple City city,16000US0678148,California,Los Angeles,10371371,36042,9000.6,78516,11467,1712,2099,1717,1561,2168,1123,1087,36042,5408,217,114,22487,182,9,610,7015,36042,1969,2125,1938,2177,2978,2763,2477,2303,1960,2098,1968,1952,2719,2628,1988,1999,43.5,26087,0.144,0.205,0.254,0.275,1,0.122,9133,0.081,17790,0.033,12167,715300,11467,
Templeton CDP,16000US0678162,California,San Luis Obispo,20444353,7838,993,82237,2890,452,381,464,412,544,373,264,7838,6291,2,244,112,0,0,137,1052,7838,594,507,227,448,721,442,513,638,455,556,315,383,433,521,584,501,43.5,5445,0.054,0.187,0.382,0.236,0,0.141,2167,0.029,3723,0.02,2999,528400,2890,
Tennant CDP,16000US0678176,California,Siskiyou,628738,26,107.1,-1,17,8,0,4,0,5,0,0,26,18,0,0,0,0,0,0,8,26,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,16,73.8,26,0,0.308,0.692,0,0,0,9,0,8,0,94,-1,17,
Terminous CDP,16000US0678232,California,San Joaquin,2531348,446,456.3,55313,205,19,71,62,18,31,4,0,446,347,0,0,17,0,0,10,72,446,26,0,31,14,10,37,24,87,5,0,37,25,0,47,13,90,58.5,398,0.07,0.43,0.397,0.03,0,0.073,118,0.076,166,0.145,232,198100,205,
Terra Bella CDP,16000US0678288,California,Tulare,7046785,3182,1169.5,22500,864,479,70,180,45,59,18,13,3182,209,0,5,0,0,0,0,2968,3182,114,377,210,183,190,150,159,81,249,269,284,285,252,146,129,104,32.9,1897,0.585,0.206,0.192,0.018,0,0,612,0.408,1546,0.285,963,144000,864,
Teviston CDP,16000US0678336,California,Tulare,5622953,881,405.8,30875,279,114,85,67,0,0,0,13,881,41,115,0,27,0,0,0,698,881,125,0,0,93,49,33,48,81,79,53,28,53,98,31,78,32,41.4,596,0.527,0.272,0.156,0,0,0.045,279,0.319,294,0.238,290,158900,279,
Thermal CDP,16000US0678456,California,Riverside,24303236,1333,142.1,30433,429,201,99,38,66,10,15,0,1333,8,1,0,0,0,0,0,1324,1333,136,43,63,121,88,111,42,25,150,69,219,9,144,49,27,37,29.8,783,0.622,0.241,0.137,0,0,0,248,0.31,683,0.161,620,-1,429,
Thermalito CDP,16000US0678470,California,Butte,32965396,6894,541.6,36964,2266,713,668,336,227,188,89,45,6894,4159,82,64,1453,10,0,373,753,6894,310,318,541,405,401,475,419,464,401,534,630,309,410,467,464,346,39.9,4588,0.22,0.364,0.311,0.064,0,0.041,1546,0.197,2617,0.174,2583,163700,2266,
Thornton CDP,16000US0678568,California,San Joaquin,5524632,1033,484.3,29141,277,128,62,32,27,20,3,5,1033,291,7,0,33,0,0,18,684,1033,74,100,74,67,46,66,44,33,117,108,79,70,47,48,33,27,25.6,528,0.424,0.367,0.186,0.019,0,0.004,208,0.327,460,0.143,299,322700,277,
Thousand Oaks city,16000US0678582,California,Ventura,143133332,127873,2313.9,109378,45712,4215,5556,5048,5741,8919,6010,10223,127873,85376,1615,226,12310,99,136,3321,24790,127873,6614,7839,6757,6691,8880,10424,8445,9543,7150,9083,7523,6374,7896,9970,7276,7408,44.2,89379,0.065,0.128,0.299,0.296,1,0.212,32031,0.032,66544,0.045,47930,726100,45712,
Thousand Palms CDP,16000US0678596,California,Riverside,61230208,6794,287.4,52697,2607,614,622,605,350,208,134,74,6794,3170,25,30,76,0,0,10,3483,6794,308,304,278,417,91,570,540,750,368,553,481,270,239,533,503,589,52,5009,0.168,0.399,0.31,0.068,0,0.055,1640,0.099,2915,0.061,3738,181600,2607,
Three Rivers CDP,16000US0678638,California,Tulare,115216707,2424,54.5,72904,1101,81,337,161,230,157,90,45,2424,1986,48,16,132,0,0,18,224,2424,65,87,34,136,92,257,262,219,105,113,83,100,87,307,267,210,55.9,2006,0.028,0.155,0.309,0.3,1,0.208,791,0.064,1256,0.049,1455,295400,1101,
Three Rocks CDP,16000US0678652,California,Fresno,1941449,249,332.2,-1,71,10,39,0,22,0,0,0,249,0,0,0,0,0,0,0,249,249,0,0,46,0,40,0,0,26,0,0,0,28,21,43,45,0,48.7,231,0.81,0.19,0,0,0,0,48,0.208,188,0,71,-1,71,
Tiburon town,16000US0678666,California,Marin,11603818,9144,2041,154915,3798,268,433,206,471,393,356,1671,9144,7459,92,15,251,0,233,399,695,9144,491,586,139,379,719,901,782,781,348,623,380,205,560,829,575,846,50.8,6937,0.008,0.061,0.169,0.431,1,0.331,2688,0.019,4464,0.027,4189,2000001,3798,
Timber Cove CDP,16000US0678715,California,Sonoma,14637532,141,24.9,64167,70,3,15,18,12,6,13,3,141,113,0,0,3,2,0,0,23,141,0,3,11,6,3,19,6,16,4,7,9,0,6,8,13,30,58.5,127,0.024,0.134,0.307,0.268,1,0.268,40,0,84,0.202,148,541700,70,
Tipton CDP,16000US0678750,California,Tulare,2615160,3238,3206.8,33894,775,294,311,59,73,26,0,12,3238,220,0,8,0,0,0,0,3010,3238,262,392,148,184,259,141,79,58,249,488,220,260,192,88,184,34,24.5,1607,0.627,0.194,0.177,0.002,0,0,680,0.362,1213,0.117,797,141800,775,
Tobin CDP,16000US0678792,California,Plumas,13024733,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,
Tomales CDP,16000US0678890,California,Marin,859286,191,575.7,-1,116,22,22,0,8,29,23,12,191,169,0,0,22,0,0,0,0,191,0,0,0,22,0,0,47,44,0,0,15,0,23,0,40,0,62.2,191,0,0.115,0.199,0.419,1,0.267,64,0,183,0,139,554200,116,
Tonyville CDP,16000US0678932,California,Tulare,130784,388,7683.8,25765,117,38,67,12,0,0,0,0,388,0,0,0,0,0,0,0,388,388,38,0,15,25,0,0,0,30,68,28,12,12,111,8,0,41,36.7,239,0.72,0.105,0.176,0,0,0,95,0.421,183,0.208,117,46000,117,
Tooleville CDP,16000US0678949,California,Tulare,172928,167,2501.2,-1,78,78,0,0,0,0,0,0,167,14,0,0,0,0,0,0,153,167,0,35,15,8,36,6,0,12,0,0,0,0,46,9,0,0,44.7,117,0.803,0.077,0.12,0,0,0,42,1,48,0.292,100,-1,78,
Topanga CDP,16000US0678960,California,Los Angeles,49543396,7900,413,128546,3183,254,146,464,424,563,437,895,7900,6289,146,0,532,0,0,239,694,7900,393,421,240,444,759,609,582,569,313,641,209,436,747,590,360,587,45.5,5947,0.024,0.057,0.233,0.31,1,0.376,2228,0.017,4247,0.058,3476,1064400,3183,
Topaz CDP,16000US0679030,California,Mono,7954471,126,41,-1,70,24,10,36,0,0,0,0,126,10,0,0,0,0,0,92,24,126,0,56,0,0,0,0,0,10,0,0,0,0,24,36,0,0,46.3,70,0.343,0,0.657,0,0,0,36,0,116,0,70,-1,70,
Toro Canyon CDP,16000US0679529,California,Santa Barbara,9269002,1728,482.8,141136,658,52,97,101,26,59,40,283,1728,1024,0,0,8,0,0,18,678,1728,110,86,52,104,61,151,101,214,77,57,43,71,13,191,110,287,56.2,1398,0.148,0.079,0.279,0.282,1,0.212,451,0.053,694,0.059,986,1791700,658,
Torrance city,16000US0680000,California,Los Angeles,53150280,145492,7089.8,93492,54437,6434,8042,7551,6965,11047,5956,8442,145492,54416,3852,514,51726,699,480,6736,27069,145492,8224,7655,8693,9692,11088,11377,8508,9922,8962,7652,8559,9252,9547,10720,8161,7480,41.9,105569,0.057,0.16,0.276,0.334,1,0.173,37802,0.046,76118,0.04,58243,762700,54437,
Tracy city,16000US0680238,California,San Joaquin,67058983,90675,3502.1,92046,25854,2279,3583,3810,4626,5921,2989,2646,90675,29994,3956,67,14612,958,33,5139,35916,90675,5995,7778,6093,6446,6981,5575,3675,2939,6200,8374,6523,6425,5915,5851,3616,2289,33.9,55797,0.146,0.264,0.369,0.165,0,0.055,21219,0.063,46641,0.053,26695,446200,25854,
Tranquillity CDP,16000US0680266,California,Fresno,1599152,809,1310.3,36103,239,26,137,38,18,12,8,0,809,61,0,0,0,0,0,0,748,809,60,86,24,50,81,35,19,40,36,120,19,0,132,18,0,89,40.6,483,0.631,0.201,0.168,0,0,0,176,0.097,295,0.139,239,186500,239,
Traver CDP,16000US0680280,California,Tulare,2184477,754,894,44375,187,47,59,41,20,16,0,4,754,59,0,0,3,0,0,22,670,754,65,89,62,42,53,20,45,21,36,90,47,44,49,22,47,22,28,418,0.522,0.323,0.151,0.005,0,0,159,0.27,289,0.042,196,146300,187,
Tres Pinos CDP,16000US0680364,California,San Benito,9316100,683,189.9,103250,220,16,35,36,18,39,21,55,683,421,0,0,0,0,0,19,243,683,67,47,42,41,29,59,51,27,37,41,63,11,33,57,23,55,35.8,464,0.101,0.239,0.418,0.138,0,0.103,183,0.033,345,0.061,234,771300,220,
Trinidad city,16000US0680448,California,Humboldt,1255850,324,668.2,71667,142,30,23,20,11,30,11,17,324,250,0,17,8,0,6,26,17,324,12,8,13,20,15,26,31,28,10,33,15,10,9,32,35,27,55.6,238,0,0.059,0.286,0.366,1,0.29,100,0.06,165,0.061,233,600000,142,
Trinity Center CDP,16000US0680476,California,Trinity,13547616,154,29.4,34107,81,13,47,15,6,0,0,0,154,101,0,46,0,0,0,7,0,154,6,0,7,5,0,0,15,32,0,19,0,0,20,0,25,25,64.5,129,0,0.55,0.295,0.093,0,0.062,22,0,57,0.491,379,215600,81,
Trinity Village CDP,16000US0680483,California,Trinity,10394620,253,63,33784,142,39,71,14,7,0,0,11,253,238,0,0,0,0,3,12,0,253,14,0,0,0,24,26,34,61,6,6,0,0,0,13,47,22,64.6,227,0.075,0.383,0.405,0.137,0,0,55,0.218,94,0,273,251600,142,
Trona CDP,16000US0680515,California,Inyo,24076929,40,4.3,-1,19,0,8,11,0,0,0,0,40,15,0,0,0,0,0,0,25,40,0,14,0,11,0,0,7,0,0,0,0,0,0,0,8,0,36.5,26,0,1,0,0,0,0,19,0,11,0,24,-1,19,
Trowbridge CDP,16000US0680560,California,Sutter,17485768,254,37.6,103125,93,16,18,7,5,27,16,4,254,214,5,0,0,0,0,23,12,254,10,15,17,28,23,19,6,14,9,3,7,33,14,26,22,8,42.5,201,0.055,0.289,0.557,0.09,0,0.01,79,0.051,150,0.067,95,332400,93,
Truckee town,16000US0680588,California,Nevada,83740316,16474,509.5,97092,6050,606,786,897,811,1204,710,1036,16474,13502,9,9,141,83,0,260,2470,16474,936,1142,735,1401,1241,1304,928,522,1314,795,536,1350,1429,1137,982,722,40.2,11491,0.054,0.098,0.329,0.359,1,0.16,4467,0.046,9336,0.018,13904,593400,6050,
Tulare city,16000US0680644,California,Tulare,52760675,63547,3119.5,54037,18422,3693,4719,3586,2491,2786,691,456,63547,18285,1938,397,896,108,110,1038,40775,63547,5917,5689,5088,4710,3515,3133,2291,2175,6354,5378,5116,4346,3706,2654,1859,1616,28.4,34863,0.252,0.305,0.334,0.08,0,0.029,14470,0.173,27041,0.069,19478,207000,18422,
Tulelake city,16000US0680686,California,Siskiyou,1061321,842,2054.8,29886,291,101,105,40,24,21,0,0,842,219,0,0,0,0,0,0,623,842,100,82,56,57,26,37,33,47,78,57,59,27,46,26,50,61,29.1,472,0.464,0.242,0.237,0.057,0,0,213,0.31,233,0.086,444,79100,291,
Tuolumne City CDP,16000US0680763,California,Tuolumne,6039944,1583,678.8,36250,664,172,261,87,88,39,17,0,1583,1071,2,17,45,0,0,32,416,1583,63,143,193,85,133,56,74,69,154,73,84,106,67,118,131,34,34,1129,0.139,0.368,0.39,0.074,0,0.028,502,0.161,467,0,744,284200,664,
Tupman CDP,16000US0680784,California,Kern,1367277,144,272.8,-1,49,15,10,4,5,15,0,0,144,118,0,2,0,0,0,9,15,144,10,8,10,10,2,12,7,2,11,15,11,10,7,15,11,3,32.3,93,0.323,0.398,0.097,0.14,0,0.043,36,0.194,60,0.133,52,-1,49,
Turlock city,16000US0680812,California,Stanislaus,43830737,72904,4307.9,59681,25182,5403,5302,4385,3318,3954,1607,1213,72904,36740,1782,429,4353,161,278,1869,27292,72904,5370,5848,5827,4907,4436,4806,3353,3826,4526,5615,5399,4739,4379,4214,2887,2772,34.2,46462,0.184,0.246,0.319,0.169,0,0.082,17761,0.117,34910,0.072,26099,310100,25182,
Tustin city,16000US0680854,California,Orange,28795766,79863,7183.1,84697,25697,2761,3929,4444,3746,4486,2620,3711,79863,25457,1891,72,17766,89,99,2564,31925,79863,4919,5453,5967,6196,5841,4777,3745,3377,5926,5955,6078,6209,5462,4780,2954,2224,34.4,52284,0.13,0.179,0.253,0.286,1,0.152,18100,0.078,44515,0.04,27180,647500,25697,
Tuttle CDP,16000US0680882,California,Merced,4555442,94,53.4,-1,48,18,0,30,0,0,0,0,94,0,0,12,0,18,0,0,64,94,0,0,0,0,0,18,0,30,0,0,0,0,0,12,0,34,75.3,94,0.128,0.553,0.319,0,0,0,48,0,18,0,48,-1,48,
Tuttletown CDP,16000US0680896,California,Tuolumne,19037474,1003,136.5,46750,385,86,108,38,28,80,24,21,1003,883,0,0,0,0,0,27,93,1003,32,92,47,63,31,107,109,37,71,103,33,79,40,47,43,69,39.7,672,0.202,0.257,0.362,0.067,0,0.112,223,0,354,0,385,266700,385,
Twain CDP,16000US0680952,California,Plumas,18622693,327,45.5,-1,127,19,52,31,25,0,0,0,327,143,0,0,0,0,0,184,0,327,0,40,25,27,0,40,56,0,0,0,0,0,35,63,33,8,54.7,262,0,0.485,0.412,0,0,0.103,83,0.627,135,0.385,207,256300,127,
Twain Harte CDP,16000US0680966,California,Tuolumne,9579415,2311,624.8,67306,1207,90,279,277,78,264,29,190,2311,1956,0,24,15,0,0,42,274,2311,33,97,70,110,0,307,352,86,100,48,205,84,91,266,266,196,56.3,1906,0.032,0.217,0.435,0.212,0,0.104,701,0.021,1260,0.051,2308,314100,1207,
Twentynine Palms city,16000US0680994,California,San Bernardino,152179761,26147,445,44226,8279,2072,2622,1560,1047,705,204,69,26147,14310,2539,243,937,693,0,1282,6143,26147,2723,1054,2878,1695,737,916,657,584,2626,2014,5577,1876,747,842,811,410,24.2,12375,0.092,0.241,0.463,0.14,0,0.065,5461,0.165,7478,0.104,9947,146400,8279,
Twin Lakes CDP,16000US0681050,California,Santa Cruz,1789856,5196,7518.8,53508,2332,560,520,430,131,208,194,289,5196,3514,38,0,0,0,43,166,1435,5196,266,212,379,625,236,546,162,404,189,339,501,81,351,324,295,286,40.2,3810,0.136,0.15,0.296,0.232,0,0.186,1173,0.136,2401,0.064,2796,788000,2332,
Ukiah city,16000US0681134,California,Mendocino,12391087,15943,3332.4,49889,5992,1404,1597,1128,601,893,204,165,15943,8191,183,266,522,42,4,572,6163,15943,1112,729,940,1127,1178,1024,770,1045,1127,936,1336,1114,1233,809,756,707,38.1,10891,0.188,0.243,0.353,0.129,0,0.088,3601,0.146,7999,0.114,6417,349600,5992,
Union City city,16000US0681204,California,Alameda,50244919,74722,3851.7,114681,21852,1545,2241,2754,2986,4311,3524,4491,74722,11544,3656,171,39663,1145,32,3403,15108,74722,3386,3449,5063,5495,4858,5200,4289,4299,4554,4111,5986,6776,4789,4709,4313,3445,38.4,54530,0.094,0.249,0.253,0.257,1,0.146,18203,0.03,40336,0.034,22903,765500,21852,
University of California-Davis CDP,16000US0681302,California,Yolo,3788366,7311,4998.3,20855,964,513,181,165,46,45,7,7,7311,1992,91,0,3193,15,23,453,1544,7311,35,2534,1425,79,69,0,0,0,66,1679,1228,134,35,12,15,0,19.5,796,0,0.034,0.263,0.329,1,0.374,183,0.377,1948,0.102,1105,-1,964,
University of California-Merced CDP,16000US0681312,California,Merced,1689900,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,
Upland city,16000US0681344,California,San Bernardino,40432012,76596,4906.6,72782,26951,3893,4797,5285,3155,4735,2698,2388,76596,29528,4233,122,6888,72,244,2466,33043,76596,4702,4750,5642,4948,5164,5823,4543,4373,4306,4931,5746,4695,4931,4654,4051,3337,38.3,52181,0.106,0.202,0.368,0.204,0,0.12,19135,0.088,40381,0.048,27722,525700,26951,
Upper Lake CDP,16000US0681358,California,Lake,4357049,896,532.6,47375,357,134,45,65,22,91,0,0,896,683,15,0,0,0,0,13,185,896,20,61,52,105,50,84,63,24,48,10,41,65,104,52,53,64,43.8,757,0.041,0.524,0.35,0.085,0,0,158,0,442,0.129,357,234200,357,
Vacaville city,16000US0681554,California,Solano,75686433,98875,3383.5,87823,32698,3574,5169,5109,4765,7042,3678,3361,98875,49901,9426,364,7509,827,300,5991,24557,98875,6122,5832,6325,6834,5578,6264,5554,5202,6096,6459,7365,7883,7046,7241,5524,3550,37.5,67890,0.109,0.246,0.41,0.156,0,0.08,23425,0.053,45668,0.046,34176,422400,32698,
Val Verde CDP,16000US0681967,California,Los Angeles,6644174,2734,1065.7,88947,710,48,104,103,172,201,60,22,2734,730,65,0,95,0,0,31,1813,2734,216,190,181,156,191,201,104,62,168,188,318,157,151,202,147,102,34.2,1802,0.218,0.24,0.41,0.083,0,0.048,564,0.007,1582,0.078,722,348800,710,
Valinda CDP,16000US0681638,California,Los Angeles,5216612,23705,11769.3,84134,5182,588,685,938,940,1145,530,356,23705,1127,406,50,3576,89,102,112,18243,23705,1281,1656,1705,1364,1466,1556,1341,1030,1537,1547,2182,1649,1725,1610,1372,684,36.2,15865,0.281,0.311,0.266,0.111,0,0.031,4580,0.076,12628,0.068,5323,447100,5182,
Valle Vista CDP,16000US0681708,California,Riverside,17794983,17663,2570.8,53327,5887,1459,1357,1303,582,729,271,186,17663,8766,838,198,293,0,13,421,7134,17663,1330,1157,1351,873,980,1205,1086,1259,1040,946,1109,1011,1124,1186,939,1067,40.1,11932,0.166,0.309,0.384,0.076,0,0.065,4129,0.115,7462,0.084,6429,184600,5887,
Vallecito CDP,16000US0681652,California,Calaveras,22171595,234,27.3,52375,148,19,36,53,27,13,0,0,234,218,0,0,0,0,0,0,16,234,0,6,12,10,32,8,69,11,0,0,5,8,31,0,42,0,60.3,228,0,0.206,0.531,0.083,0,0.18,70,0,184,0,176,282300,148,
Vallejo city,16000US0681666,California,Solano,79837511,121267,3934,69405,42048,6862,8410,7736,5820,7139,3343,2738,121267,29250,23902,118,28132,1210,693,6087,31875,121267,6775,6712,8987,8358,7565,8416,8523,7093,7219,7181,9168,8731,6766,7308,7483,4982,38.4,84568,0.12,0.255,0.367,0.187,0,0.071,28457,0.097,62839,0.082,44543,370000,42048,
Valley Acres CDP,16000US0681722,California,Kern,10677289,656,159.1,48875,239,44,89,28,27,24,10,17,656,426,0,0,0,0,0,0,230,656,87,9,28,10,26,34,76,33,42,40,84,15,15,65,65,27,43.5,457,0.184,0.337,0.381,0.088,0,0.011,198,0.121,240,0.221,257,109900,239,
Valley Center CDP,16000US0681736,California,San Diego,71145335,11077,403.2,101331,3169,449,228,448,443,713,382,506,11077,6741,93,129,391,17,28,617,3061,11077,792,799,813,543,642,935,514,636,657,721,717,711,591,750,678,578,37.8,7379,0.112,0.2,0.336,0.233,0,0.119,2702,0.091,5379,0.036,3386,614800,3169,
Valley Ford CDP,16000US0681778,California,Sonoma,6842484,34,12.9,-1,11,0,0,0,11,0,0,0,34,34,0,0,0,0,0,0,0,34,0,0,0,0,0,10,11,0,0,0,0,0,0,13,0,0,51.4,34,0,1,0,0,0,0,0,0,24,0,11,-1,11,
Valley Home CDP,16000US0681792,California,Stanislaus,2977464,185,160.9,-1,81,32,9,7,15,12,0,6,185,163,0,5,0,0,0,0,17,185,0,10,0,12,4,38,3,37,3,4,13,0,8,30,13,10,57.5,163,0.184,0.233,0.454,0.012,0,0.117,53,0.075,78,0.128,83,457500,81,
Valley Ranch CDP,16000US0681869,California,Plumas,2945415,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,59,-1,0,
Valley Springs CDP,16000US0681890,California,Calaveras,25567749,3502,354.7,68898,1336,259,198,260,221,214,109,75,3502,2767,0,0,16,0,0,138,581,3502,34,228,150,357,115,191,366,309,238,221,251,116,226,171,369,160,42.9,2569,0.084,0.219,0.56,0.081,0,0.056,943,0.058,1716,0.047,1490,296600,1336,
Valley Wells CDP,16000US0681925,California,Inyo,27631920,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,
Vandenberg AFB CDP,16000US0682072,California,Santa Barbara,57068118,3387,153.7,69911,1022,35,319,243,234,115,42,34,3387,1728,363,26,158,13,0,436,663,3387,369,134,459,281,82,37,0,0,477,257,785,411,69,26,0,0,23.4,1472,0.023,0.062,0.48,0.281,1,0.154,827,0.022,943,0.07,1072,-1,1022,
